rank,geek_rating,game_id
1,8.48904,161936
2,8.30744,182028
3,8.22021,12333
4,8.15458,120677
5,8.15151,174430
6,8.15037,187645
7,8.08622,169786
8,8.06267,167791
9,8.02304,173346
10,8.00663,102794
11,7.99721,84876
12,7.9803,3076
13,7.96376,115746
14,7.96041,31260
15,7.93931,96848
16,7.92347,170216
17,7.9219,25613
18,7.89284,164153
19,7.86813,193738
20,7.86329,205059
21,7.86145,2651
22,7.85838,209010
23,7.85384,72125
24,7.8401,205637
25,7.83866,121921
26,7.82742,175914
27,7.81548,124742
28,7.8125,28720
29,7.81227,164928
30,7.80765,35677
31,7.79697,126163
32,7.78936,178900
33,7.78364,146508
34,7.77678,183394
35,7.76399,124361
36,7.74998,122515
37,7.74687,68448
38,7.72673,171623
39,7.723,18602
40,7.70802,146021
41,7.70671,150376
42,7.70491,12493
43,7.70113,177736
44,7.69242,163412
45,7.68593,62219
46,7.6841,110327
47,7.68402,28143
48,7.68296,157354
49,7.68277,132531
50,7.67408,93
51,7.66711,40834
52,7.66158,103885
53,7.63755,37111
54,7.63399,159675
55,7.60472,36218
56,7.60254,2511
57,7.59747,172386
58,7.59617,144733
59,7.59407,102680
60,7.59175,42
61,7.58639,194655
62,7.58506,30549
63,7.5785,73439
64,7.57244,104162
65,7.57058,521
66,7.57036,155426
67,7.55519,9609
68,7.54798,128882
69,7.54337,155068
70,7.5405,127023
71,7.53988,103343
72,7.53831,34635
73,7.53328,161970
74,7.52369,146652
75,7.52059,125153
76,7.52037,70149
77,7.50628,126042
78,7.50156,123260
79,7.50035,147020
80,7.49628,14105
81,7.49022,17133
82,7.48992,175155
83,7.48676,91
84,7.48291,14996
85,7.48017,43111
86,7.47245,21050
87,7.46587,201808
88,7.46371,39463
89,7.46275,148949
90,7.45043,27833
91,7.4457,9216
92,7.44521,128621
93,7.43474,77423
94,7.43042,4098
95,7.43025,146886
96,7.42992,148228
97,7.4296,555
98,7.42551,43015
99,7.4226,176189
100,7.42199,54043
101,7.41842,104006
102,7.41349,31627
103,7.41188,101721
104,7.41118,188
105,7.41046,215
106,7.40329,154203
107,7.39187,10630
108,7.3902,129437
109,7.38916,9209
110,7.38253,234
111,7.3788,20551
112,7.37637,140620
113,7.37628,171131
114,7.37583,93260
115,7.37318,31481
116,7.37007,146439
117,7.36853,97207
118,7.36805,22545
119,7.36493,24181
120,7.35805,38453
121,7.35462,59294
122,7.35261,12
123,7.35216,54998
124,7.34739,7854
125,7.34302,172818
126,7.34168,181304
127,7.34072,127060
128,7.33613,822
129,7.3357,19857
130,7.3287,48726
131,7.32394,118048
132,7.32159,17392
133,7.32008,92828
134,7.32004,41114
135,7.31951,108745
136,7.31423,25021
137,7.31197,182874
138,7.31166,66589
139,7.30814,77130
140,7.30634,181279
141,7.30563,155873
142,7.30092,176494
143,7.30089,27708
144,7.30054,421
145,7.30015,463
146,7.29847,119890
147,7.29718,54138
148,7.28823,1
149,7.28317,3
150,7.28089,55690
151,7.27889,36932
152,7.2751,45315
153,7.27403,40692
154,7.26895,15985
155,7.26861,760
156,7.26837,163745
157,7.26376,39856
158,7.26246,59959
159,7.26106,123123
160,7.26005,192291
161,7.25956,193037
162,7.25558,198928
163,7.25166,176920
164,7.2512,124708
165,7.24983,198773
166,7.24947,40765
167,7.24783,136888
168,7.247,37046
169,7.24283,243
170,7.24224,33160
171,7.23992,25292
172,7.23719,63628
173,7.23664,82222
174,7.23531,129622
175,7.23114,185343
176,7.2289,2655
177,7.22586,70919
178,7.22492,25554
179,7.22406,21241
180,7.22336,54625
181,7.22186,105134
182,7.21855,144344
183,7.21822,31594
184,7.21771,5
185,7.21571,143693
186,7.21567,121
187,7.21386,70323
188,7.21153,71
189,7.20894,163068
190,7.20681,157969
191,7.20671,54
192,7.20351,156129
193,7.2001,172287
194,7.19913,19777
195,7.19831,109276
196,7.19273,46213
197,7.19132,9217
198,7.19113,8217
199,7.18995,155821
200,7.18293,15987
201,7.18251,2653
202,7.1822,21348
203,7.18078,79828
204,7.18018,24480
205,7.17573,147949
206,7.16879,55670
207,7.16764,90137
208,7.16621,160477
209,7.16297,39683
210,7.1601,25417
211,7.15994,73171
212,7.15828,40354
213,7.15672,96913
214,7.15472,176396
215,7.15422,83330
216,7.15252,66188
217,7.15214,13122
218,7.15199,712
219,7.1497,128996
220,7.14921,875
221,7.14742,18833
222,7.14594,118
223,7.14332,102652
224,7.1415,65781
225,7.14147,136063
226,7.14113,66362
227,7.13589,5404
228,7.13576,100901
229,7.13413,17226
230,7.13271,139976
231,7.13109,150658
232,7.12619,154809
233,7.12569,133038
